,No.,Tweet,Label,Words,Notes,Contributor
0,1.0,Post-farmers market ice cream run. Did I choose the Blue Moon to turn my tongue blue? Maybe. 🌚 👅 #icecream #madisoneats #hurrybeforeitmelts #turnyourtongueblue https://t.co/LzooKVcTJB https://t.co/ZKG33E8tNa,environment,ice cream,,
1,2.0,"Wicker Park Farmers Market, 8 a.m.- 2 p.m. Sundays through late October @ Wicker Park Farmers Market https://t.co/oVCzovzuVh",Business,through,"business (time, location)",farmers
4,5.0,"News from Discover Arlington: Mayoral Challenge SALUTE Run, Arbor Day, Spring Cleaning, Rock with Cops, Farmers Market: Upcoming events promoted by Discover Arlington include Just Move It 5K Run/1 Mile Walk at South Middle School, Arbor Day at Raven… https://t.co/X92S2Cg5VK",environment,"news, upcoming events",,promotors
5,6.0,Make nineteen pounds of pie dough for a wedding Saturday. Check! #fivefelinefarm #womeninbusiness #writer #foodie #farmersmarket #smallbusiness #baker #homemade #wegotthis #wegotthis💪 @… https://t.co/7mGmVLwkHL,Business,Check!,business (content),
6,7.0,big facts RT @_Thepromiser: Farmers market on a Sunday is a top 3 date. No debate needed,environment,"date, top, no debate",,
7,8.0,"Thursday Farmers Market in West Town lands $395,000 to help shoppers get more for what they spend https://t.co/vrdq0ESxnN https://t.co/f1MggJfZSr",availability,"$, get more, spend",,
8,9.0,#FitnessTip: Pay a visit to your local #FarmersMarket to enjoy richer and more #nutritious produce. https://t.co/l0UhCybE41 https://t.co/31gKsNdjnf,quality,"richer, more #nutritious",,
9,10.0,"You can find Presto Pesto at the Tractor Supply Farmers Market, 1185 Kings Highway in Port Charlotte on Monday, 7/2 and Tuesday, 7/3 from 9am-2pm!!! Celebrate the 4th Of July with Gluten Free Presto Pesto Pizzas and Presto Pesto 🇺🇲️",Business,you can find,"business (time, location)",farmers
11,12.0,"Do you know any local musicians who want to perform at a farmers market? Low-Line Market is looking for all types of artists to perform this summer. Email LowLineMarket@LakeviewChamber.com for more information! 

📸: @PhotosByGarbot https://t.co/L68MZgy0dd",environment,"musicians, artists, perform",,
12,13.0,Students from Elk Grove visiting the C-SPAN bus at Trickster Gallery in Schaumburg!  Come check it out and grab some fresh veggies at the farmers market!  @ComcastILLINOIS https://t.co/SFHKoimy3x,environment,"Students, come check it out, grab, veggies!",,
13,14.0,Chicago’s Best Farmers Markets: Our House Pizza – Chicago Video https://t.co/ciyxRUayVG https://t.co/ZQlzv87sdq,quality,best farmers markets,,
14,15.0,Large crowd at new Gurnee farmers market sows hope for business east of Route 41 https://t.co/S01nVUvCTD,environment,"large crowd, sows hope",,
15,16.0,"FARMERS MARKET TODAY! The West Town Health Market is back every Thursday from 3-7 at Presence Saints Mary and Elizabeth Medical Center, near Division and Oakley. Stock up on veggies, fruit, honey, meat, eggs, and more.  Triple Value Matching on all LINK transactions up to $15. https://t.co/hoti6dxPLX",Business,"beggies, fruit, honey, meat, eggs, and more","business (time, location)",farmers
17,18.0,Interns on 🔥 at the @Ravenswood_Chi #FarmersMarket https://t.co/n8ntOFlfdC,environment,interns,,
18,19.0,"My Saturday so far: Watching soccer, shopping at a farmers market, and having my hair in a tail. The only way I could get more European is if this country had socialized medicine and a sane environmental policy #WorldCup",environment,"shopping, environmental ",,
20,21.0,"Old Capitol Farmers Market. Chef from with Sean Keeley. Toasted bagels, salmon cream cheese, chives. https://t.co/jzADvPZQNT",availability,chives,,
21,22.0,You're invited: Lincoln Square Farmers Markets https://t.co/YPzGlqvojS,Business,You are invited!,business (content),
