,No.,Tweet,Label,Words,Notes,Contributor
0,1.0,Post-farmers market ice cream run. Did I choose the Blue Moon to turn my tongue blue? Maybe. 🌚 👅 #icecream #madisoneats #hurrybeforeitmelts #turnyourtongueblue https://t.co/LzooKVcTJB https://t.co/ZKG33E8tNa,environment,ice cream,,
4,5.0,"News from Discover Arlington: Mayoral Challenge SALUTE Run, Arbor Day, Spring Cleaning, Rock with Cops, Farmers Market: Upcoming events promoted by Discover Arlington include Just Move It 5K Run/1 Mile Walk at South Middle School, Arbor Day at Raven… https://t.co/X92S2Cg5VK",environment,"news, upcoming events",,promotors
6,7.0,big facts RT @_Thepromiser: Farmers market on a Sunday is a top 3 date. No debate needed,environment,"date, top, no debate",,
7,8.0,"Thursday Farmers Market in West Town lands $395,000 to help shoppers get more for what they spend https://t.co/vrdq0ESxnN https://t.co/f1MggJfZSr",availability,"$, get more, spend",,
8,9.0,#FitnessTip: Pay a visit to your local #FarmersMarket to enjoy richer and more #nutritious produce. https://t.co/l0UhCybE41 https://t.co/31gKsNdjnf,quality,"richer, more #nutritious",,
11,12.0,"Do you know any local musicians who want to perform at a farmers market? Low-Line Market is looking for all types of artists to perform this summer. Email LowLineMarket@LakeviewChamber.com for more information! 

📸: @PhotosByGarbot https://t.co/L68MZgy0dd",environment,"musicians, artists, perform",,
12,13.0,Students from Elk Grove visiting the C-SPAN bus at Trickster Gallery in Schaumburg!  Come check it out and grab some fresh veggies at the farmers market!  @ComcastILLINOIS https://t.co/SFHKoimy3x,environment,"Students, come check it out, grab, veggies!",,
13,14.0,Chicago’s Best Farmers Markets: Our House Pizza – Chicago Video https://t.co/ciyxRUayVG https://t.co/ZQlzv87sdq,quality,best farmers markets,,
14,15.0,Large crowd at new Gurnee farmers market sows hope for business east of Route 41 https://t.co/S01nVUvCTD,environment,"large crowd, sows hope",,
17,18.0,Interns on 🔥 at the @Ravenswood_Chi #FarmersMarket https://t.co/n8ntOFlfdC,environment,interns,,
18,19.0,"My Saturday so far: Watching soccer, shopping at a farmers market, and having my hair in a tail. The only way I could get more European is if this country had socialized medicine and a sane environmental policy #WorldCup",environment,"shopping, environmental ",,
20,21.0,"Old Capitol Farmers Market. Chef from with Sean Keeley. Toasted bagels, salmon cream cheese, chives. https://t.co/jzADvPZQNT",availability,chives,,
22,23.0,"Planning to #VisitOakPark this summer? You'll find historic walking tours, renowned farmers markets, unique street festivals, outdoor theater, and much more: https://t.co/ebpmZbMSwN https://t.co/ytoBdj2W1I",environment,"planning, vist, renowned",,
23,24.0,Thankful to be a guest judge for Heart of Illinois Professional Chefs Association Chopped Competition! — at Peoria Riverfront Farmers Market https://t.co/wjU0MvIrhn,environment,"thankful, competition",,
24,25.0,Farmers' Market Volunteers Needed: https://t.co/ug3EInDFmM #VolunTweet,environment,vonlunteers,,
25,26.0,"I don’t always have a chance to grab fresh food from the grocery or farmers market when I’m traveling, but I know I can always grab a @risebar for a healthy snack on the go! With a 4+ hr… https://t.co/xW5j4vYK0U",quality,fresh food,,
26,27.0,"Eco-friendly and chic.
https://t.co/3JRa5naZv6",environment,"friendly, chic",,
27,28.0,Some awesome food for thought from @AMReese07 as we start (hopefully?) the farmers' market season: https://t.co/md6ERrFopl,quality,aswsome food,,
31,32.0,Kankakee's Farmers Market is my happy place🌞,environment,happy place,,
32,33.0,Honestly the world should be just like one giant farmers market then everything would work out okay,environment,work out okay,,
39,40.0,This afternoon's adventures at the farmers market https://t.co/puECjdm9an,environment,adventures,,
40,41.0,"As #farmersmarket season approaches, our #dietitian shares what produce to get when this season: https://t.co/g2LetV3jZp #HealthTip https://t.co/fOYWEAEEoG",quality,dietitian,,
50,51.0,Pellston Elementary School hosts back-to-school farmers market pop-up https://t.co/rLdcZSh4bG #backtoschool #farmersmarket #farmersmarkets #foodservice https://t.co/C218ekOzmq,environment,school,,
52,53.0,"This supports the Marengo fireworks. Come out to the farmers market today to buy tickets for $10 each, or go to the fire department to buy your tickets. This event is June 22. Hope some friends can make it! https://t.co/QNXzunI6rn",environment,"supports, fireworks, tickets, event, friends",,
53,54.0,"Thursday Farmers Market In West Town Lands $395,000 To Help Shoppers Get More For What They Spend https://t.co/iBFCllZa87 https://t.co/u7T1eRPhYy",availability,spend,,
55,56.0,Feeling my farmers market fantasy https://t.co/0EpXANf0ZS,environment,"feeling, fantasy",,
57,58.0,"Spruce up your #summercuisine with this strawberry #salsa recipe from Janie Maxwell of the @ILFarmersMkts . This recipe works best with ultra-fresh, locally-sourced produce. Try looking into your local farmers market: https://t.co/0O7R1xbfef",quality,"strawberry, ultra-fresh, locally-sourced produce",,
59,60.0,"#FoodieEllie reads Eat Well (her choice as we drove there) experiences #Champaign farmers market today. Menu collards, okra with tomatoes 🍅, corn on the cob, bruschetta selections with fresh basil, and grill squash. #foodie #farmfun #foody #4chionstyle #fourthofjuly #family https://t.co/WQpJOdUG7h",availability,"okra, tomato, corn, fresh basil, grill squash",,
63,64.0,"#Gardening allows an #athlete to grow their own #fresh produce, often in a wider variety than can be found in stores and markets. Not interested? Start looking for farmers markets near you! https://t.co/FNKCLSvnMn",quality,"start looking for, found, fresh",,promotors
66,67.0,The Best Chicago Farmers Markets https://t.co/Mc4JzZmNP1 on @bloglovin,quality,best,,
68,69.0,"More new items today: Tomato pie with roasted garlic, basil and Fontina. Cherry Custard Pie. Fresh Apricot Muffins. Horner Park Farmers Market and Glenwood Sunday Market.",availability,"more new items, tomato, basil, cherry, fresh apricot",,
70,71.0,What a beautiful day for a Bubble Tub! Farmers Market in the taproom today… https://t.co/B6JN0OaEZd,environment,beautiful,,
75,76.0,Need a quick and easy dessert to go with your fresh strawberries from the farmers market? Here you go! https://t.co/w1FLyYXLky,quality,fresh strawberries,,
76,77.0,Music in the park. @ Ottawa's Old Town  Farmers Market https://t.co/FlSGROxW25,environment,music,,
77,78.0,"Spring produce is finally in-season! Here’s a tasty recipe for asparagus and mushroom frittata from Janie Alexander Maxwell, executive director of the Illinois Farmers Market Association. Try making this dish... https://t.co/5vrbIGMVAx",availability,"tasty, asparagus, mushroom",,
82,83.0,Ok fine I'll say what everyone is thinking: that farmers market looks really nice https://t.co/gZDbad3Lwc,environment,looks really nice,,
90,91.0,Great day for the farmers market ☀️ https://t.co/X9bLsed0Ej,environment,great day,,
92,93.0,"Went to the farmers market alone ✔️
Got an all natural lemonade ✔️
Pet 3 Shih-Tzus ✔️
So far a grade A day ✔️",quality,"pet, natural, lemondade",,
101,102.0,"@turnip2020
I met some of your friends today at the farmers market😂😂😂 https://t.co/X6A3I4Ibl2",environment,,visiting,consumers 
108,109.0,"I made a farmers market brunch today: fresh eggs baked with yellow tomato-red chile sauce, topped with basil & Parmesan.  Hot blueberry muffins. https://t.co/D7LtxUT20b",quality,"fresh, tomato, basil, bluberry",,
115,116.0,Wow Organic Garlic Old State Capitol Farmers Market  https://t.co/8BUE1Pfuch,quality,organic garlic,,
122,123.0,"15lbs of rhubarb from Gray Farms, @ToddAppel making rhubarb lemon cordial! (@ Andersonville Farmers Market - @ecoaville in Chicago, IL) https://t.co/KpzVHD9GfH https://t.co/WuPGOOsjmy",availability,"from farms, rhubarb (15 lbs-weight)",,
130,131.0,"Varieties Music Team has a show on 10/06/2018 at 09:00 AM @ Arlington Heights Farmers Market in Arlington Heights, IL https://t.co/DQQiz8iGVo #concert https://t.co/mazrUVwVeB",environment,music,,
133,134.0,"There was a Farmers Market outside the courthouse today and I got one of my Bucket list plants. #stringofpearls #igplants @ Chicago, Illinois https://t.co/ielMK7ZBln",availability,"bucket list, got, today",visit,consumer
134,135.0,Pet-friendly or pet-free? Suburban farmers markets take sides on whether to allow dogs to accompany shoppers https://t.co/q2PnOYpAf4,safety,"pet, dogs",,
146,147.0,#HealthTip: Shop at your local farmers market to boost your local economy. https://t.co/gadB9I3Sqx https://t.co/FGlOjOg1Cj,economics,"shop at local farmers, local economy",,promoters
147,148.0,Derek Hough puts his arm around girlfriend Hayley Erbert as they hit LA's farmers' market: Derek Hough and Hayley… https://t.co/YZPk190tAj,environment,girlfriend,,
158,159.0,The farmers market at my building has hemp satchels with earthy appliqués in case you’re into that sorta thing,availability,has,,consumers
159,160.0,Chicago’s Best Farmers Markets https://t.co/BYjXuVezZw https://t.co/MajWaMWmsv,quality,best,,consumers
162,163.0,Farmers markets guide: Your complete Chicago and suburban listings https://t.co/5d79Pq1bRZ,education,guide,,educators
164,165.0,The nephew & I hanging out today.  Take care too. @ Logan Square Farmers Market https://t.co/PikUmtmZ7Z,environment,"nephew, haning out, take care",,
167,168.0,"It’s farmers market and fresh produce season❣️ Why not grow your own chemical free, nutrient dense, low maintenance, and very affordable better than organic produce… https://t.co/QHXyVpo0dF",quality,"chemical free, nutrient, organic, affordable",,promoters
179,180.0,"Due to illness, Chuck from Swingbelly Farms​ will not be able to join us for storytime next week at the La Grange Farmers Market​. BUT, we still have a great story planned for storytime! We hope Chuck feels better soon & hope to see you June 14 at 11am on the village hall lawn. https://t.co/ZBpRlaFBfz",environment,"join us, storytime, illness",,
180,181.0,Witness the power of food! Students at @ChiPubSchools @MitchellBobcats tasted tea for the first time and are now creating their own tea to sell at the farmers market. Learn more and donate to support food education for students here: https://t.co/ucdGsjJkCr https://t.co/OyooPibaz8,environment,"donate, support, students, learn",,educators
181,182.0,"Our community partner Illinois Stewardship Alliance is in need of volunteers to count attendance at the Old Capitol Farmers Market THIS Saturday! Shifts are available every Saturday until the market closes at the end of October. 

Sign up here:... https://t.co/Br3byRMptR",environment,"volunteers, attendance, sign up, community",,
182,183.0,"Picked up some veggies at the farmers market, gonna make noms with em and may or may not post how it goes ^^",availability,"picked up, vessgines, ^^",,consumers
