No.,Tweet,Label,Words,Notes,Contributor
1,Post-farmers market ice cream run. Did I choose the Blue Moon to turn my tongue blue? Maybe. 🌚 👅 #icecream #madisoneats #hurrybeforeitmelts #turnyourtongueblue https://t.co/LzooKVcTJB https://t.co/ZKG33E8tNa,environment,ice cream,,
2,"Wicker Park Farmers Market, 8 a.m.- 2 p.m. Sundays through late October @ Wicker Park Farmers Market https://t.co/oVCzovzuVh",NR,through,"business (time, location)",farmers
3,I checked in at Fresh Thyme Farmers Market on #Yelp https://t.co/sHKCyq9xnH,NR,checked in,,consumers
4,The June 30 market will be the last week for strawberries! Get them while you can and freeze them. 🍓🍓🍓🍓🍓 https://t.co/brYisOxLUq,NR,"last, stawberries! Get, you",,
5,"News from Discover Arlington: Mayoral Challenge SALUTE Run, Arbor Day, Spring Cleaning, Rock with Cops, Farmers Market: Upcoming events promoted by Discover Arlington include Just Move It 5K Run/1 Mile Walk at South Middle School, Arbor Day at Raven… https://t.co/X92S2Cg5VK",environment,"news, upcoming events",,promotors
6,Make nineteen pounds of pie dough for a wedding Saturday. Check! #fivefelinefarm #womeninbusiness #writer #foodie #farmersmarket #smallbusiness #baker #homemade #wegotthis #wegotthis💪 @… https://t.co/7mGmVLwkHL,NR,Check!,business (content),
7,big facts RT @_Thepromiser: Farmers market on a Sunday is a top 3 date. No debate needed,environment,"date, top, no debate",,
8,"Thursday Farmers Market in West Town lands $395,000 to help shoppers get more for what they spend https://t.co/vrdq0ESxnN https://t.co/f1MggJfZSr",availability,"$, get more, spend",,
9,#FitnessTip: Pay a visit to your local #FarmersMarket to enjoy richer and more #nutritious produce. https://t.co/l0UhCybE41 https://t.co/31gKsNdjnf,quality,"richer, more #nutritious",,
10,"You can find Presto Pesto at the Tractor Supply Farmers Market, 1185 Kings Highway in Port Charlotte on Monday, 7/2 and Tuesday, 7/3 from 9am-2pm!!! Celebrate the 4th Of July with Gluten Free Presto Pesto Pizzas and Presto Pesto 🇺🇲️",NR,you can find,"business (time, location)",farmers
11,Thursday’s are for farmers market and I get my Amish made croissant....#PregnantLadyproblems,NR,"for farmers marekt, I get, made",,consumers
12,"Do you know any local musicians who want to perform at a farmers market? Low-Line Market is looking for all types of artists to perform this summer. Email LowLineMarket@LakeviewChamber.com for more information! 

📸: @PhotosByGarbot https://t.co/L68MZgy0dd",environment,"musicians, artists, perform",,
13,Students from Elk Grove visiting the C-SPAN bus at Trickster Gallery in Schaumburg!  Come check it out and grab some fresh veggies at the farmers market!  @ComcastILLINOIS https://t.co/SFHKoimy3x,environment,"Students, come check it out, grab, veggies!",,
14,Chicago’s Best Farmers Markets: Our House Pizza – Chicago Video https://t.co/ciyxRUayVG https://t.co/ZQlzv87sdq,quality,best farmers markets,,
15,Large crowd at new Gurnee farmers market sows hope for business east of Route 41 https://t.co/S01nVUvCTD,environment,"large crowd, sows hope",,
16,"FARMERS MARKET TODAY! The West Town Health Market is back every Thursday from 3-7 at Presence Saints Mary and Elizabeth Medical Center, near Division and Oakley. Stock up on veggies, fruit, honey, meat, eggs, and more.  Triple Value Matching on all LINK transactions up to $15. https://t.co/hoti6dxPLX",availability,"beggies, fruit, honey, meat, eggs, and more","business (time, location)",farmers
17,Farmers Market @ St. John's Episcopal Church Aug 15 at 3:00 pm https://t.co/1OssZPEkOw via @PNdaily,NR,Farmer market @,,consumers
18,Interns on 🔥 at the @Ravenswood_Chi #FarmersMarket https://t.co/n8ntOFlfdC,environment,interns,,
19,"My Saturday so far: Watching soccer, shopping at a farmers market, and having my hair in a tail. The only way I could get more European is if this country had socialized medicine and a sane environmental policy #WorldCup",environment,"shopping, environmental ",,
20,Only 2 more markets left this season! Help the Illinois Stewardship Alliance with attendance counts at the Old Capitol Farmers Market  https://t.co/aqa5xOwCAU https://t.co/cReLRERsg1,NR,"Help, only, left, this season,",,promotoers
21,"Old Capitol Farmers Market. Chef from with Sean Keeley. Toasted bagels, salmon cream cheese, chives. https://t.co/jzADvPZQNT",availability,chives,,
22,You're invited: Lincoln Square Farmers Markets https://t.co/YPzGlqvojS,NR,You are invited!,business (content),
23,"Planning to #VisitOakPark this summer? You'll find historic walking tours, renowned farmers markets, unique street festivals, outdoor theater, and much more: https://t.co/ebpmZbMSwN https://t.co/ytoBdj2W1I",environment,"planning, vist, renowned",,
24,Thankful to be a guest judge for Heart of Illinois Professional Chefs Association Chopped Competition! — at Peoria Riverfront Farmers Market https://t.co/wjU0MvIrhn,environment,"thankful, competition",,
25,Farmers' Market Volunteers Needed: https://t.co/ug3EInDFmM #VolunTweet,environment,vonlunteers,,
26,"I don’t always have a chance to grab fresh food from the grocery or farmers market when I’m traveling, but I know I can always grab a @risebar for a healthy snack on the go! With a 4+ hr… https://t.co/xW5j4vYK0U",quality,fresh food,,
27,"Eco-friendly and chic.
https://t.co/3JRa5naZv6",environment,"friendly, chic",,
28,Some awesome food for thought from @AMReese07 as we start (hopefully?) the farmers' market season: https://t.co/md6ERrFopl,quality,aswsome food,,
29,"Farmers Market season is here! Visit us at a local market near you! We’ll be participating in over 15 markets this summer in every part of town - from downtown to southside, westside and northside of Chicago.... https://t.co/yvdh2HvtIb",NR,"visit us, you, season!",business (content),
30,Ravenswood Farmers Market  https://t.co/ML0VSrpDBR,NR,,business (content),
31,"Sunday June 10 - 1099 String Quartet, Farmers Market, Park Garden Tour https://t.co/ZgAfcM78VC",NR,,business (content),
32,Kankakee's Farmers Market is my happy place🌞,environment,happy place,,
33,Honestly the world should be just like one giant farmers market then everything would work out okay,environment,work out okay,,
34,Here’s the line up for today’s Farmers Market! 9am-1pm at Central & Hiawatha https://t.co/gHjfaGRqNF,NR,"here's, today's farmers market!",business (content),
35,Farmers Market's Proximity Marketing Solutions for booth!: https://t.co/TpWds7gvVh via @YouTube,NR,marketing,business (content),
36,Join us this Saturday at the Northcenter Farmers Market 🎵  - https://t.co/sQJYwgImps,NR,join us this Saturday at ,business (content),
37,"Sunday, August 26th, we will be at Frankfort Country Farmers Market in Frankfort, IL. 9am-2pm! Hope we see you there! https://t.co/JiBBNJQonf",NR,"we will, hope, see you there!",business (content),
38,Summer Sounds and Farmers' Markets Returning https://t.co/AvqckbaQC3,NR,returning,business (content),
39,"i had to make room in the refrigerator for all the produce i will buy at tomorrow's #farmersmarket, so here is an essential #mustgomeal #tagine style:
#roastedokra, #paddypans,… https://t.co/vAhaaT4R3K",NR,,desire to visit,consumers
40,This afternoon's adventures at the farmers market https://t.co/puECjdm9an,environment,adventures,,
41,"As #farmersmarket season approaches, our #dietitian shares what produce to get when this season: https://t.co/g2LetV3jZp #HealthTip https://t.co/fOYWEAEEoG",quality,dietitian,,
42,Skokie Farmers' Market - The Core of the Community https://t.co/E64Z48sqB0  @DowntownSkokie @NorthShoreWeb,NR,,business (content),
43,"This week's #bouquet from https://t.co/a5evCvsgd3 
#farmersmarket #flowers @61market https://t.co/c0YuE0kZaG",NR,"bouquest, flowers",business (content),
44,Old Capitol Farmers Market Celebrates National Farmers Market Week August 5-11 https://t.co/aPPIwdSO6r https://t.co/1CO8LnmsEm,environment,celebrates,business (content),
45,We're here at the #IllinoisProductsFarmersMarket giving away Springfield Clinic strainers (while supplies last). Come out and get your fresh produce and Illinois products. The market is open from now until 7 p.m. at the #IllinoisStateFairgrounds. #farmersmarket #springfield https://t.co/v9O4YbcMrQ,NR,"we're here at, come out and get your, fresh produce",business (content),
46,Roselyn  is sharing spare bushels. Grab one now! https://t.co/T8Q1Mqj9fk,NR,"sharing, grab now!",business (content),
47,Want to find out more about buying a house?  Check in with Veronica from NHS of Chicago every Friday afternoon at the IMAN—Chicago + ATL Farmers Market on 63rd ST. just east of California.  Reach Veronica at vgalvan@nhschicago.org.,NR,check in ,business (content),
48,"I might go to @TheCBsMusic at Evanston Farmers' Market in Evanston, IL - Oct 14 https://t.co/LkbBwgkitn",NR,,desire to visit,consumers
49,"“If you’ve got good produce a lot of customers are going to follow you.”
See how the Stephenson County Farmers Market is doing in its new downtown location. https://t.co/YePwIPRDXp https://t.co/ia0hboG6Bb",quality,good produce,business (content),
50,">> It’s National Farmers Market Week << by Faith Graphix - Printing You Can Trust on Thursday, August 9. https://t.co/ZONqdZWdcE",NR,,,promotors
51,Pellston Elementary School hosts back-to-school farmers market pop-up https://t.co/rLdcZSh4bG #backtoschool #farmersmarket #farmersmarkets #foodservice https://t.co/C218ekOzmq,environment,school,,
52,"I made it to 2 farmers markets (Horner & Independence Park), 3 festivals (Printers Row, Ribfest, Blues Fest), 3 bars this weekend. not bad considering weather/mood/etc.",NR,,visiting,consumers 
53,"This supports the Marengo fireworks. Come out to the farmers market today to buy tickets for $10 each, or go to the fire department to buy your tickets. This event is June 22. Hope some friends can make it! https://t.co/QNXzunI6rn",environment,"supports, fireworks, tickets, event, friends",,
54,"Thursday Farmers Market In West Town Lands $395,000 To Help Shoppers Get More For What They Spend https://t.co/iBFCllZa87 https://t.co/u7T1eRPhYy",availability,spend,,
55,PrairiErth Farm is having a stock up sale at the September 22nd Farmers' Market. Join us tomorrow morning from 7:30 a.m. to noon around the Museum Square. https://t.co/q1CodztzoZ,NR,join us tomorrow,business (content),
56,Feeling my farmers market fantasy https://t.co/0EpXANf0ZS,environment,"feeling, fantasy",,
57,"Is a tart a pie? 
This “very controversial” question plagued judges at last year’s Oak Park Farmers Market Pie Bake-Off, according to Melissa Elsmo, the queen of cuisine behind Oak Park Eats, who served as a judge in last year’s contest. https://t.co/pqIH5KJ0WO",NR,,,
58,"Spruce up your #summercuisine with this strawberry #salsa recipe from Janie Maxwell of the @ILFarmersMkts . This recipe works best with ultra-fresh, locally-sourced produce. Try looking into your local farmers market: https://t.co/0O7R1xbfef",quality,"strawberry, ultra-fresh, locally-sourced produce",,
59,"#sousvide #tritip dinner. All #farmersmarket all day. #cheflife #foodporn #beef @ Chicago, Illinois https://t.co/Z1Gb02rxrf",NR,,,
60,"#FoodieEllie reads Eat Well (her choice as we drove there) experiences #Champaign farmers market today. Menu collards, okra with tomatoes 🍅, corn on the cob, bruschetta selections with fresh basil, and grill squash. #foodie #farmfun #foody #4chionstyle #fourthofjuly #family https://t.co/WQpJOdUG7h",availability,"okra, tomato, corn, fresh basil, grill squash",,
