Sentences,Label
"I was driving by and saw the sign out for fresh sweetcorn, so I decided to check it out!",Non-relevant
There was a big pile of corn ears on a table.,availability
There were also plenty of bags available to put my corn into.,availability
They also had a large bin near by where you could remove the outer leaves and corn silk.,Non-relevant
(The Jewel doesn't do that for you!),Non-relevant
I liked this because I never really knew what to do with the outer covering when I clean corn at home.,Non-relevant
It's always such a messy job.,safety
"As an added plus, when you clean your corn there, you can examine the ears to make sure you don't get any that are either underdeveloped or have corn bores.",quality
(None of my ears had anything wrong with them!),Non-relevant
"They also had fresh tomatoes, squash (yellow and Zucchini), string beans, large melons and other fresh vegetables and fruit.",availability
The girls at the checkout counter were friendly and quickly rang up my order.,environment
"They also had a large assortment of jams, local honey and canned vegetable available along with olive oils and other condiments.",availability
"(I didn't need any of those so I can't comment on their quality, but they looked good!",quality
This is definitely a local gem that I will be stopping at again as the summer progresses.,Non-relevant
"They have the best sweet corn, hands down!",quality
"I only buy my corn here and go frequently to purchase it, fresh out of the fields.",quality
"I also buy a lot of their fresh produce, and started buying the jars of cherry pie mix which made the best cherry pie I've ever had.",quality
I buy my flower and vegetable plants here every spring.,availability
"They have a big variety, and it's so easy to shop in their greenhouse.",availability
Very friendly employees.,environment
This is a must-try if only for the sweet corn!,quality
I'm not sure what I had expected coming into this place.,Non-relevant
For some reason I had grandious visions of fresh fruits and vegetables piled to the eaves.,quality
For that I was let down.,Non-relevant
"However, the small amounts of produce that they did have looked so fresh and delicious.",quality
They carry tables and tables of vine ripe tomatoes of many varieties.,availability
They have an enormous table full of sweet corn that you can shuck right there in the stand.,quality
They have a vast variety of canned items such as pumpkin butters and salsas and the like.,availability
Buckets of onions.,availability
"Baskets of green beans, bell peppers, jalapenos, squash and zucchinis and more.",availability
I was just expecting more quantity of each.,Non-relevant
Granted I arrived around noon on a Sunday and I'm sure most of the product had been picked through and purchased already.,Non-relevant
I was not too impressed with the prices either.,environment
"I purchased 8 green peppers, 3 cucumbers and 2 red onions and it was right around $11.",availability
I'll be back.,Non-relevant
I've heard phenomenal things about their sweet corn.,quality
I'll be sure to get some next time.,Non-relevant
This place is great!!,environment
Once you try the fruits and veggies you will know what I mean!,quality
There's an assortment of meats as well as jarred goods.,availability
Every time I have stopped by there is something seasonal at the store.,Non-relevant
This is not Amish Farmers store.,Non-relevant
Is mix.,Non-relevant
I found some products from the market in Chicago.,Non-relevant
A lot products from regular stores with very high price.,environment
"Nothing different than Rich Or Jewel Inot go for fakes products Yesterday I went in to buy chicken and one of the ladies that was serving the chicken had a glove on One hand and didn't on the other and she was touching her her running nose with the bare hand then I asked her if she could go and wash her hand and she's said ""No me no wash hands it's good"" then I said then I don't want the chicken.",Non-relevant
She she put a new glove on the bare hand.,Non-relevant
I think they should have some training of how to handle food properly for safety.,safety
I asked the cashier to see the supervisor and she said no supervisor or manager here.,Non-relevant
This is the best Amish store.,quality
"Best meat, it's so fresh , it's far from me but it worth it!",quality
Whole Foods is price and this is much better.,environment
"Fresh,FreshFresh!",quality
The products that were available were high quality.,quality
I'm assuming that the lack of variety is due to the current season and I understand that.,availability
Hoping that spring/summer brings a little more of a selection.,availability
Staff was a little cold but helped when I asked for it.,environment
Will be coming back.,Non-relevant
Love this place.,Non-relevant
"Great for those who like to ""hunt"" their food to be in the most natural state and freshest possible.",quality
"This is a tiny store that sells Amish produce and other staples like cheese, jams and breads.",availability
The prices are extremely fair to say the least.,environment
I picked up a bag of raw almonds was $1 and a cup full of flax seeds was $1.50.,Non-relevant
"While small, the store offers a great organic selection for those nearby and don't want to pay crazy high prices at the big stores.",quality
I was really impress.,Non-relevant
Love Amish Farmers.,Non-relevant
Have been shopping there for a couple years now.,Non-relevant
Love getting my farm fresh organic cAge free eggs!!!!,quality
"The butter is amazing, so happy I don't have to drive to Wisconsin for it.",quality
Have not had any bad vegetables or cheese from here.,quality
It's a great little store for the area.,environment
My only issue (and yes I get it's a mom & pop shop) but the people working in there don't seem to keep to the standards for working with food.,safety
I have no bought any meat or poultry from there.,quality
The women who ring at the register do not speak English very well and always assume I am polish and speak to me in polish.,Non-relevant
"Today there is a sign in English and polish that they are looking to hire a woman only, part time.",Non-relevant
Not to mention some of the people who shop in the store are rude and have no manners.,environment
"Look for farm fresh go, but just be patient with the other patrons.",Non-relevant
Oh and the price for everything in the store is just right!!!!,environment
The staff is not very helpful or very friendly.,environment
Their certainly not Amish.,Non-relevant
"There isn't anything else like it in the area, so with it's limited selection, I guess it is what it is.",availability
I love supporting local businesses but this place is a little overpriced on their veggies even if they are organic.,environment
When I walked in there were two employees who barely spoke any English and only one customer.,environment
"I browsed around, but the store is pretty small so it was a short trip.",environment
Picked up a couple things and headed to the register where I proceeded to wait for the next 10 minutes while they stocked their fridge with meat in the interim 4 or 5 more customers walked in and they quickly ran to take care of them while I continued to wait.,environment
Finally about 15 minutes later the same girl who was serving meat came over to the register and asked me if I was ready.,environment
"Which I would like to assume so, since I had just waited almost 25 minutes to ring up a container of white pepper, butter, eggplant and gizzards.",environment
Before I left the store I realized of the 4 items she had only given me 3 charging me for the eggplant but forgetting to bag it leaving it on the scale.,Non-relevant
"In the future I'll just hit up a local Mariano's, whole foods or traders joe's for better prices and quicker customer service.",environment
"They have local and organic produce, from Illinois and Wisconsin.",quality
"Their array of local goats milk products is really impressive, I sacked up and tried some goats milk keifer....frigging delicious.",quality
"The butcher counter is likewise very impressive, I am completely intimidated by the fresh duck and trout.",quality
