Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
"I was driving by and saw the sign out for fresh sweetcorn, so I decided to check it out!",Non-relevant,Non-relevant,availability,Non-relevant
There was a big pile of corn ears on a table.,Non-relevant,quality,quality,quality
There were also plenty of bags available to put my corn into.,availability,availability,availability,availability
They also had a large bin near by where you could remove the outer leaves and corn silk.,Non-relevant,quality,availability,N/A
(The Jewel doesn't do that for you!),Non-relevant,Non-relevant,environment,Non-relevant
I liked this because I never really knew what to do with the outer covering when I clean corn at home.,safety,safety,safety,safety
It's always such a messy job.,safety,Non-relevant,safety,safety
"As an added plus, when you clean your corn there, you can examine the ears to make sure you don't get any that are either underdeveloped or have corn bores.",Non-relevant,quality,quality,quality
(None of my ears had anything wrong with them!),Non-relevant,Non-relevant,Non-relevant,Non-relevant
"They also had fresh tomatoes, squash (yellow and Zucchini), string beans, large melons and other fresh vegetables and fruit.",availability,availability,availability,availability
The girls at the checkout counter were friendly and quickly rang up my order.,environment,environment,environment,environment
"They also had a large assortment of jams, local honey and canned vegetable available along with olive oils and other condiments.",availability,availability,availability,availability
