Index,Sentences,Label,Words,Notes,Unnamed: 5
0,I would definitely want to come back here when they have strawberry picking.,availability,"strawberry, picking",,
1,"Haven't seen one in a long time though, personally.",,,,
2,"River Valley is a premium grower (""using organic tenets, but not organic certified"") of portabella, crimini (aka baby bella), white button, shiitake and oyster mushrooms.",availability,mushrooms,,
3,"Today there was a group of belly dancers performing, a string band and free yoga classes.",environment,"dancers, performing, band, yoga",,
4,"I mean, I am not the folks from Portlandia, (http://www.hulu.com/watch/208808) but I would prefer that my food be antibiotic and hormone free and actually know it for sure.",quality,antibiotic and hormone free,,
5,It's great to check out all the local vendors and help out individuals and families rather than giant corporations.,environment,"local vendors, help out, families",,
6,"Hint, move it to an area that is not so crowded.",environment,"area, crowded",,
7,Yum!,quality,yum!,,
8,"The Willis Farmer's Market is on Thursdays in 2011 from June 16 until October 6, from 7am-3pm.",,is on from until,business,
9,"I really enjoyed the spinach artichoke dip, apricot- chile sauce, veggie burgers, butternut squash ravioli and blueberry lemon compote.",environment,"spinach, apricot, chile, veggie, squach, blueberry, lemon",,
10,I volunteered at a booth here and people are very friendly.,environment,"volunteered, people, friendly",,
11,I work with the Urbana Farmers Market and I LOVE IT!,,work,business,
12,An organic tomato farm sells wonderful salsas and sauces.,"quality, availability","organic, tomato, sells, salsas",,
13,Good stuff.,quality,good stuff,,
14,The streets were not even marked clearly and once you turned on the right street it was one way and there was no way out...there were not enough venders and even though there were a few hours left before it was over most venders' tables were almost empty... the venders that were there were just not that exciting... the biggest let down was the guy doing balloon animals.. my grand daughter stood there waiting for about five minutes and then he told her he had to leave without doing her balloon... very unprofessoonal all the way around..,environment,"streets, vendors, exciting, animals, grand daughter",long sentence,
15,"This is just one of those ""eh"" places.",environment,places,,
16,Sweet family owned farm in northwest Illinois.,environment,"sweet, family, owned",,
17,Only one organic vendor.,quality,"only, organic, vendor",,
18,Much bigger than I thought it would be and I loved the breakfast sandwich stands and fresh lemonade stand.,"quality, environment","bigger, fresh",,
19,"I did not see any already butchered whole chicken in the display case, just parts, feet and stuff.",availability,"did not see, just",,
20,It has ice cream and has Easter brunch is best of all and was probably most famous for is being able to pick your own fruits and vegetables.,environment,"ice cream, brunch, pick your own",,
21,"It's way, way too crowded for the amount of vendors.",environment,"crowded, vendors",,
22,"It is a pretty stable group of vendors, that is, it's pretty much the same vendors in the same place each time.",environment,"vendors, pretty",,
23,"Awesome things: Ozark Forest Mushrooms - Black truffle butter (so good, you'll lick this like ice cream)","quality, availability","awesome things, so good, lick, mushroom, ice cream",,
24,"You can definitely tell what is up when your favorite crafter gets bumped around, their loyalty means nothing to the PAID market management (who doesn't really manage or enforce their own rules).",environment,"paid, management, manage, enforce",business,
25,This is such a cute little farm!,environment,"such a, cute, little, farm",,
26,"You could do most of your shopping for the week as you can pick up fruits, veggies, pies, organic meat, cheese and canned veggies and preserves.",availability,"pick up, fruits, veggies, shopping",,
27,"I love farmer's markets, but I especially love this farmer's market because it fosters so many great habits from me.",environment,great habits,,
28,A fun way to start the weekend.,environment,"fun, weekend",,
29,"Whether you live or work in this community or any community, I definitely suggest that everyone try local farmers markets (especially the organic growers).",environment,"local, organic, growers, community",,
30,The staff gives you a plastic bag when you walk in to pick the apples.,availability,"pick, apples, bags, gives",,
31,"My 3 1/2 yr old, on the other hand, thinks this place is great....and loves getting a glimpse at the cows, horses, chickens and more.",environment,"place, cows, horses, chickens",,
32,"In just its second year, this has quickly become one of my favorites though.",,,,
33,"I love to experiment and try new recipes, so I was pleased to find some unique vegetables in our CSA box.",availability,"recipes, find some, unique",,
34,"If you just need a couple tomatoes and maybe some herbs, eggplant, lettuce, eggs, peppers, flowers but don't need 17 different kinds of pickled veggies, this is the farmer's market for you.",availability,"need, tomatoes, herbs, eggplant, lettuce, peppers, pickled veggies, kinds of",,
35,"This morning to early afternoon market is just couple blocks east of Michigan Avenue so it is very convenient to visit before work or during your lunch time, The market has certainly grown from the past years.",environment,convenient,,
36,I wish this market was a little larger and had more variety.,"environment, availability","larger, variety",,
37,They use eggs and sausage from the local vendors.,environment,local vendors,,
38,It was simply too crowded-potentially dangerous for the doggies.,environment,"crowded, doggies",,
39,The popsicles and baked goods can't be beat.,,,,
40,"Live music, lots of people, yummy food and a sense of community.","environment, quality","live music, people, community, yummy food",,
41,"There are booths with Pastas, Pickles, Teas, Eggs and Bacon, Dog Treats, Ceramics, Breads, and freshly made mini donuts!!",quality ,freshly made,,
42,My mother regularly picked up chicken from here.,,,,
43,Went there this morning and no one was there.,,,,
44,"A terrible experience, we will not be going back!",,,,
45,"Needless to say, since it's my neighborhood farmers market - which I am grateful for - I will continue to patronize it, but carefully and in small quantities :) When it comes to farmer's markets I'm like Goldilocks.",environment,"neighborhood, grateful, quantities",,
46,I love coming here every Saturday!,,,,
47,"They are supposedly working on getting a POS credit card terminal too, which would be awesome.",,,,
48,"He sells all-natural, whole grain baked goods, which I can appreciate but can no longer eat.",availability,sells goods,,
49,"I said, ""I'll take it.""",,,,
50,Some vendors can be found both indoors and outdoors.,,,,
51,"Of course, they have apples and peaches, depending on the season with cut samples out for you to try the different varieties.",availability,"they have, apples, peaches, season, samples, different varieties",,
52,We love coming here because it is so interactive for the whole family.,environment,"interactive, family",,
53,"Considering that apple picking is one of my favorite fall pastimes, I was seriously underwhelmed by my experience at Ziegler's last weekend.",environment,"apple, picking, experience",,
54,They have a variety of things to see and do.,availability,"a variety of things, see",,
55,"I've met the owner, his wife, and at least one of his young daughters.",environment,"ownder, wife, daughters",,
56,It's a neighborhood market that's big enough for the West Loop.,environment,"neighborhood, big",,
57,"It's more of a collection of specialty items that, while intriguing and somewhat unique, don't really rep a FM, apart from logistics.",availability,"a collection of specialty, unique",,
58,"Since there are so many vendors, you will notice that several will be selling the same items.",availability,"so many vendors, selling, items",,
59,*Food stalls like crepes and tacos.,,,,
60,"What a find, if you can, this is the go to place for your veggies.",environment,"places, veggies",,
61,You can tell it is fresh and the variety of flavors is unparalleled. 3.,quality,"fresh, variety of flavors",,
62,"Coming from the Dallas Farmer's Market where I once got 10 avocados for a dollar, I was prepared to be disappointed.",availability,"got, avocados",,
63,Other than that...it's your typical Fresh Thyme store.,availability,"thyme, fresh",,
64,"I bought a ""fresh baked cinnamon roll"" that was dry and frozen in the middle.",,,,
65,I enjoyed it because the weather was cool and sunny.,environment,"weather, sunny, cool",,
66,"Some were selling jams/jellies, jewelry and there even was wine tasting!",availability,selling,,
67,"The floor is wet, there is blood on it, and it smells like animals because they are in the room next door.",safety,"wet, blood, smells like, animals",,
68,They're open every Tuesdays in the morning until 3pm? from Memorial week until the end of October.,,,,
69,It's a great place to shop for fresh fruit and vegetables.,availability,"shop fruit, vegetables",,
70,I love farmer's Markets and this is one awesome farmer's Market!,environment,swesome,,
71,A true gem to have in Kenosha.,,,,
72,"They grow organic, pesticide-free veggies out in Indiana.",quality,"grow, organic, pesticide-free veggies",,
73,They have a good amount of fresh produce and have bought many apples that I've used in apple pies.,availability,"good amount of, fresh produce, bought, many, apples",,
74,I would highly recommend this store to anyone.,,,,
75,A great place to spend a summer Saturday morning.,,,,
76,Great little grocery store that has almost everything our family could need on a weekly basis.,availability,"has almost everything, need, week",,
77,My favorite family booth is Tree of Life.,environment,"family booth, favorite",,
78,"I had never reviewed it before, but after yesterday's visit it was a must.",,,,
79,"Always seem to spend too much money here, and always leave feeling like I could have spent more.",availability,"spend, money",,
80,One container is $6 or two for $10.,,,,
81,"Whiner Beer is their successful business, but they reuse virtually none of Whiner 's. by products.",,,,
82,"I'm wearing my ear-to-ear Sunday grin on a Wednesday... hump day, my dears, has never rocked this hard.",,,,
83,"I regularly dream about the juicy, flavorful strawberries.","quality, availability","juicy, flavorful stawberries",,
84,We love Wellhausen.,,,,
85,"On the other hand, this Farmer's Market is open until 7 or 8 pm (depending upon the day of the week and time of month).",,,business,
86,I was told that I wasn't really ever approved (even though I received a formal written letter stating my approval) and that I basically needed to get over it and move on.,,,,
87,"The bottom line: Awesome people, high quality meat and veggies.","quality, environment","awesome people, high quality, veggies",,
88,The flowers change throughout the summer into fall.,environment,flower,,
89,"It was moderately busy when we went, but there was still plenty of strawberries for the picking.","environment, availability","busy, plenty of strawberries, picking",,
